Date and Time,Wheelchair Base Response
06/08/2019 09:58:31,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:31,STATUS: MOVEMENT,,
06/08/2019 09:58:31,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:32,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:32,STATUS: MOVEMENT,,
06/08/2019 09:58:32,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:33,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:33,STATUS: MOVEMENT,,
06/08/2019 09:58:33,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:34,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:34,STATUS: MOVEMENT,,
06/08/2019 09:58:34,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:35,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:35,STATUS: MOVEMENT,,
06/08/2019 09:58:35,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:36,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:36,STATUS: MOVEMENT,,
06/08/2019 09:58:36,STATUS: TELEMETRY,20.315V,0.000A,0.000A
06/08/2019 09:58:37,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:37,STATUS: MOVEMENT,,
06/08/2019 09:58:37,STATUS: TELEMETRY,20.315V,0.000A,0.000A
06/08/2019 09:58:38,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:38,STATUS: MOVEMENT,,
06/08/2019 09:58:38,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:39,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:39,STATUS: MOVEMENT,,
06/08/2019 09:58:39,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:40,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:40,STATUS: MOVEMENT,,
06/08/2019 09:58:40,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:41,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:41,STATUS: MOVEMENT,,
06/08/2019 09:58:41,STATUS: TELEMETRY,20.315V,0.000A,0.000A
06/08/2019 09:58:42,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:42,STATUS: MOVEMENT,,
06/08/2019 09:58:42,STATUS: TELEMETRY,20.315V,0.000A,0.000A
06/08/2019 09:58:43,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:43,STATUS: MOVEMENT,,
06/08/2019 09:58:43,STATUS: TELEMETRY,20.315V,0.000A,0.000A
06/08/2019 09:58:44,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:44,STATUS: MOVEMENT,,
06/08/2019 09:58:44,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:45,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:45,STATUS: MOVEMENT,,
06/08/2019 09:58:45,STATUS: TELEMETRY,20.315V,0.000A,0.000A
06/08/2019 09:58:46,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:46,STATUS: MOVEMENT,,
06/08/2019 09:58:46,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:47,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:47,STATUS: MOVEMENT,,
06/08/2019 09:58:47,STATUS: TELEMETRY,20.315V,0.000A,0.000A
